hotel_name,review_id,value_star,location_star,cleanliness_star,service_star,rooms_star,sleep_quality,star_rating
Holiday Inn Express Boston,review_10961806,4,4,4,4,4,,4
The Midtown Hotel,review_260743352,2,2,3,3,3,3,3
Boston Hotel Buckminster,review_133720295,4,5,4,4,4,4,4
Omni Parker House,review_127840800,4,5,4,4,3,4,3
The Inn at Longwood Medical,review_282354216,,,,,,,5
Hilton Boston Logan Airport,review_8207093,5,5,5,,5,,5
"The Westin Copley Place, Boston",review_150447080,5,5,5,5,5,5,5
DoubleTree by Hilton Hotel Boston - Downtown,review_287801239,5,5,5,5,5,5,5
Hilton Boston Back Bay,review_342907111,4,,,5,4,,4
The Bostonian Boston,review_423411455,,4,5,5,,,4
Boston Marriott Copley Place,review_14120472,5,5,5,4,5,,5
The Boston Common Hotel and Conference Center,review_322917672,3,3,3,4,1,1,2
Residence Inn Boston Back Bay/Fenway,review_266338022,4,5,,5,,,4
Colonnade Hotel,review_120888848,5,5,4,5,5,5,5
Seaport Boston Hotel,review_260114937,,,,,,,5
DoubleTree Club by Hilton Hotel Boston Bayside,review_200834690,5,3,5,5,5,5,4
The Bostonian Boston,review_7316069,,,,,,,4
DoubleTree Suites by Hilton Boston-Cambridge,review_232940786,,3,4,2,,,3
Courtyard Boston Copley Square,review_427043482,,,5,5,5,,5
Revere Hotel Boston Common,review_136370821,2,4,2,2,3,3,2
Omni Parker House,review_382983306,4,,,5,3,,4
"The Westin Copley Place, Boston",review_137539759,4,5,4,5,4,,4
Milner Hotel,review_290422659,,,,,,,4
Kimpton Nine Zero Hotel,review_180204861,,,,,,,4
The Inn At St Botolph,review_142329055,5,5,5,5,5,5,5
Boston Harbor Hotel,review_126904258,4,5,5,5,5,5,5
Boston Hotel Buckminster,review_264720476,3,,4,3,,,3
Omni Parker House,review_209355504,5,5,5,5,5,5,5
Embassy Suites by Hilton Boston - at Logan Airport,review_236276521,2,3,2,5,3,,3
"The Ritz-Carlton, Boston",review_225126223,,,,5,5,5,5
Lenox Hotel,review_60514513,4,5,5,5,4,5,5
The Godfrey Hotel Boston,review_384318606,4,5,5,5,5,5,5
Harborside Inn,review_84819024,3,4,5,5,5,4,4
Revere Hotel Boston Common,review_172297605,5,5,5,5,5,5,5
The Westin Boston Waterfront,review_278967378,,,,,,,5
Boston Park Plaza,review_388903014,,,,,,,4
The Boxer Boston,review_372604953,4,5,,5,,,4
Hotel Commonwealth,review_105137524,4,5,5,5,5,5,5
Omni Parker House,review_352758314,,,5,5,4,,5
Sheraton Boston Hotel,review_391342352,,,,,,,3
Hotel Commonwealth,review_164157938,5,5,5,5,5,,5
Seaport Boston Hotel,review_224741214,5,5,5,5,5,5,5
Boston Marriott Long Wharf,review_241033937,,,4,4,,4,4
Boston Marriott Copley Place,review_356798807,,,,2,3,3,2
Taj Boston,review_119483016,4,5,4,5,3,5,5
Courtyard Boston Copley Square,review_27623137,5,5,4,5,4,,4
Four Seasons Hotel Boston,review_178615295,5,5,5,5,5,5,5
"Mandarin Oriental, Boston",review_69799090,5,5,5,5,5,5,5
Boston Marriott Long Wharf,review_114815508,,,,,,,3
Hyatt Regency Boston Harbor,review_138728986,5,4,5,5,4,4,4
InterContinental Boston,review_141703438,5,5,4,5,4,5,5
Hyatt Regency Boston,review_405931591,,,,,,,5
Copley Square Hotel,review_150909628,4,5,5,5,5,5,5
W Boston,review_59410929,4,5,5,5,5,5,5
Hyatt Regency Boston,review_376944245,3,5,4,4,4,5,4
The Inn at Longwood Medical,review_133385348,5,5,5,5,5,5,5
"Ames Boston Hotel, Curio Collection by Hilton",review_206099422,4,5,5,3,4,5,4
"The Ritz-Carlton, Boston",review_384757632,5,,,5,,5,5
Courtyard Boston Logan Airport,review_380310146,4,,,5,5,,5
BEST WESTERN PLUS Roundhouse Suites,review_267003474,,,,,,,1
"Battery Wharf Hotel, Boston Waterfront",review_207355279,4,5,5,5,5,4,4
Omni Parker House,review_2447522,3,,3,4,4,,4
Constitution Inn,review_15145666,5,5,4,4,3,,4
Four Seasons Hotel Boston,review_166168542,5,5,5,5,,,5
Revere Hotel Boston Common,review_375937148,5,5,5,5,5,4,5
Taj Boston,review_407686793,,,5,5,,5,5
BEST WESTERN PLUS Roundhouse Suites,review_109808326,5,3,5,5,5,5,5
W Boston,review_198095373,4,5,4,4,4,4,4
Seaport Boston Hotel,review_337776390,5,5,5,5,5,5,5
Harborside Inn,review_35983057,4,5,5,3,4,,4
Hotel Commonwealth,review_150278425,4,5,5,4,5,5,4
Renaissance Boston Waterfront Hotel,review_309296473,,,,5,5,5,5
Seaport Boston Hotel,review_136172351,4,5,5,5,5,,5
The Godfrey Hotel Boston,review_389201745,4,5,5,5,5,4,5
Colonnade Hotel,review_186732484,5,5,2,5,5,5,3
Omni Parker House,review_202658938,4,5,4,4,4,3,4
"The Ritz-Carlton, Boston",review_218297281,4,4,,5,,,5
Hotel Commonwealth,review_361017387,4,,5,4,,,4
"The Westin Copley Place, Boston",review_165410868,,,,,,,1
The Midtown Hotel,review_296881974,4,4,4,5,4,3,4
Colonnade Hotel,review_124921046,5,5,5,5,5,5,5
Omni Parker House,review_117641955,2,,2,1,,1,1
Hotel 140,review_141026617,4,4,3,4,3,4,4
Hyatt Regency Boston Harbor,review_168246408,,,,,,,5
Hotel Commonwealth,review_126444367,5,5,5,5,5,5,5
Hotel Commonwealth,review_254105501,2,5,3,3,3,,3
Hotel Commonwealth,review_119722832,5,5,5,5,5,5,5
The Inn At St Botolph,review_321025318,4,,,5,5,,5
InterContinental Boston,review_327227717,,,,,,,5
Omni Parker House,review_201141780,3,5,4,5,2,3,4
Chandler Inn,review_128621416,5,5,5,5,5,5,4
"Battery Wharf Hotel, Boston Waterfront",review_37896931,5,5,5,5,4,,5
enVision Hotel Boston - Longwood,review_414403526,4,4,,4,,,4
Colonnade Hotel,review_390465719,,,,,,,5
Courtyard Boston Copley Square,review_214867419,,,,5,5,5,5
InterContinental Boston,review_414014139,5,,,5,,5,5
Hilton Boston Back Bay,review_423272173,,4,4,4,,,4
"Battery Wharf Hotel, Boston Waterfront",review_314931003,5,,,2,5,,4
Hilton Boston Logan Airport,review_231727627,,4,,3,2,,3
The Midtown Hotel,review_308883605,5,5,5,5,5,5,4
InterContinental Boston,review_376907365,5,5,5,5,5,4,5
Eliot Hotel,review_19856291,3,5,5,5,4,,4
Courtyard Boston Downtown,review_427876413,3,,,5,3,,3
Boston Hotel Buckminster,review_407600811,,,,,,,5
"Fairmont Copley Plaza, Boston",review_321392192,4,5,5,5,5,5,5
Revere Hotel Boston Common,review_358967830,,,5,5,5,,5
Revere Hotel Boston Common,review_391195917,,,5,3,4,,4
Hilton Boston Back Bay,review_214428524,4,5,5,5,5,5,5
InterContinental Boston,review_325728194,,5,,5,,3,5
Renaissance Boston Waterfront Hotel,review_27247765,4,3,5,5,5,,5
InterContinental Boston,review_417659324,,,,,,,5
Hilton Boston Back Bay,review_183191437,4,5,5,5,4,5,4
The Midtown Hotel,review_168313942,2,4,2,3,2,,3
Hyatt Regency Boston,review_154515461,5,4,5,5,5,4,5
Boston Park Plaza,review_371412205,4,5,5,5,4,5,4
DoubleTree Suites by Hilton Boston-Cambridge,review_231672406,4,3,,5,,,4
Hotel Commonwealth,review_267318018,5,,,5,,5,5
Courtyard Boston Logan Airport,review_207999729,3,5,5,5,5,5,5
Seaport Boston Hotel,review_306458743,,,,,,,5
"Fairmont Copley Plaza, Boston",review_271131397,,,,,,,4
"The Langham, Boston",review_330069033,1,,1,1,,,1
The Midtown Hotel,review_257826481,5,5,5,5,4,5,4
Taj Boston,review_431232253,,,5,5,5,,5
W Boston,review_251347531,,,4,5,5,,4
"The Westin Copley Place, Boston",review_194627362,4,5,5,5,4,5,5
Colonnade Hotel,review_34952978,4,5,5,5,5,,5
Harborside Inn,review_428828322,,,,,,,5
Harborside Inn,review_184479267,3,5,4,4,4,3,4
The Bostonian Boston,review_169674473,5,5,5,4,5,5,4
Club Quarters Hotel in Boston,review_421568607,,,,,,,5
The Midtown Hotel,review_427271640,3,3,1,1,3,3,1
Hotel 140,review_256667588,5,5,4,5,4,,5
Courtyard Boston-South Boston,review_214691192,,4,,4,,5,5
The Westin Boston Waterfront,review_228351397,,4,,5,5,,4
Hampton Inn & Suites Boston Crosstown Center,review_176935506,4,3,5,5,4,,4
Wyndham Boston Beacon Hill,review_235511285,4,5,5,5,4,,4
"Battery Wharf Hotel, Boston Waterfront",review_388857876,3,4,,5,,,4
Boston Harbor Hotel,review_351358154,,,,,,,4
"The Westin Copley Place, Boston",review_229302273,,,5,5,5,,5
Holiday Inn Express Hotel & Suites Boston Garden,review_354339969,5,4,5,5,4,4,4
Hotel Commonwealth,review_186215665,5,5,5,5,5,5,5
Boston Marriott Long Wharf,review_165982575,5,5,5,5,5,,5
Taj Boston,review_399591771,,,,,,,5
"Marriott Vacation Club Pulse at Custom House, Boston",review_18166169,1,5,3,1,1,,1
Lenox Hotel,review_24983634,,4,5,5,3,,4
"The Westin Copley Place, Boston",review_365433285,4,5,,5,,,5
The Boxer Boston,review_250343038,,,4,4,4,,4
Hotel Commonwealth,review_117746266,,,,,,,5
Hyatt Regency Boston,review_162372943,2,4,3,3,2,3,3
Omni Parker House,review_204234384,2,5,4,3,1,2,3
Hotel Commonwealth,review_5965927,,,,,,,3
W Boston,review_297113397,,,,,,,5
Lenox Hotel,review_326185540,4,,4,5,,,4
InterContinental Boston,review_229185580,,5,,5,5,,5
DoubleTree Suites by Hilton Boston-Cambridge,review_5230604,5,,5,5,5,,4
Eliot Hotel,review_425030604,,,,,,,5
The Boxer Boston,review_366322024,,5,5,5,,,4
Boston Harbor Hotel,review_161996125,5,5,5,5,5,5,5
The Midtown Hotel,review_239781811,4,4,3,4,3,4,4
W Boston,review_406864012,,,,,,,5
Eliot Hotel,review_72321535,4,4,5,5,4,4,5
Hotel 140,review_209384858,3,5,4,4,3,3,4
W Boston,review_158316458,4,5,4,5,4,4,5
Boston Marriott Copley Place,review_119368190,3,4,4,4,3,,4
Revere Hotel Boston Common,review_247660641,,,5,5,,5,5
InterContinental Boston,review_193604204,,,,,,,5
Eliot Hotel,review_302436199,5,,,5,5,,5
The Westin Boston Waterfront,review_170112566,3,4,5,4,4,5,4
Seaport Boston Hotel,review_214430281,5,5,5,5,5,5,5
Club Quarters Hotel in Boston,review_167933256,3,4,2,4,3,3,3
Copley Square Hotel,review_187444177,5,5,5,5,5,5,5
Colonnade Hotel,review_155540595,,,,,,,5
Embassy Suites by Hilton Boston - at Logan Airport,review_324324645,4,5,5,5,5,5,4
Sheraton Boston Hotel,review_411530691,,5,,5,,5,5
Seaport Boston Hotel,review_214430042,5,5,5,5,5,5,5
Hilton Boston Back Bay,review_132953950,4,5,5,5,5,5,4
Hilton Boston Back Bay,review_431441471,,,,,,,4
Days Hotel Boston-Harvard Fenway,review_2825153,,,,,,,3
Renaissance Boston Waterfront Hotel,review_20100322,5,4,5,4,5,,5
Wyndham Boston Beacon Hill,review_377773516,,,4,4,,4,4
Lenox Hotel,review_186956263,3,5,3,3,3,,3
Boston Harbor Hotel,review_187227087,5,5,5,5,5,5,5
Hyatt Regency Boston Harbor,review_154751610,3,2,5,5,4,4,4
Hotel Commonwealth,review_149211936,4,5,5,5,5,5,5
Sheraton Boston Hotel,review_251324629,5,,,4,,2,4
Eliot Hotel,review_349504178,5,5,,5,,,5
InterContinental Boston,review_275865177,,4,4,5,,,5
The Westin Boston Waterfront,review_154834033,4,5,5,5,5,5,5
Hotel 140,review_336487192,,,,,,,4
"The Liberty, A Luxury Collection Hotel",review_369116794,3,,,3,,,3
"The Westin Copley Place, Boston",review_300472217,4,,,5,,5,5
Lenox Hotel,review_11294933,5,5,5,5,5,,4
Hotel Commonwealth,review_184342767,,,,,,,5
Hotel Commonwealth,review_155617692,5,5,5,5,5,5,5
Hotel Commonwealth,review_120598368,5,5,5,5,4,5,5
Hotel Commonwealth,review_139317493,4,5,5,5,5,5,5
Residence Inn Boston Back Bay/Fenway,review_210189309,5,5,5,5,5,5,5
Kimpton Onyx Hotel,review_4104273,4,,5,4,4,,5
Omni Parker House,review_23052215,4,5,5,4,5,,4
InterContinental Boston,review_79253418,4,3,5,5,5,5,5
Wyndham Boston Beacon Hill,review_405494044,,,,,,,3
BEST WESTERN PLUS Roundhouse Suites,review_381465569,1,,,3,1,,1
Hotel Commonwealth,review_145537059,4,4,4,4,4,4,5
Newbury Guest House,review_274891417,4,,,5,4,,5
Hotel Commonwealth,review_125709637,5,5,5,5,5,5,5
The Bostonian Boston,review_115699166,3,,4,3,,3,3
The Boxer Boston,review_206659927,5,5,5,5,4,5,5
Embassy Suites by Hilton Boston - at Logan Airport,review_116586843,5,,5,3,,5,4
Courtyard Boston Logan Airport,review_305100081,3,,,3,,3,3
Hotel 140,review_362017065,4,5,5,4,4,4,4
Seaport Boston Hotel,review_173687147,5,5,5,5,5,5,5
Kimpton Nine Zero Hotel,review_8875146,,,,,,,3
Boston Marriott Copley Place,review_177709807,4,5,5,4,5,5,5
InterContinental Boston,review_214512952,,5,5,5,,,5
Courtyard Boston Logan Airport,review_183564036,,,,,,,5
DoubleTree Club by Hilton Hotel Boston Bayside,review_219667760,,3,4,4,,,4
Sheraton Boston Hotel,review_280764962,,,,,,,5
Holiday Inn Express Boston,review_126786000,3,4,5,4,4,4,4
Boston Harbor Hotel,review_327036047,4,,5,4,,,5
Seaport Boston Hotel,review_250287757,5,5,5,5,5,5,5
InterContinental Boston,review_114776258,5,,3,5,,5,4
Kimpton Onyx Hotel,review_85653588,4,4,4,5,3,5,4
Lenox Hotel,review_13004388,5,5,5,5,4,,5
Hyatt Regency Boston Harbor,review_228447281,,,,4,5,5,5
"Marriott Vacation Club Pulse at Custom House, Boston",review_93524688,4,5,5,5,4,5,5
Hyatt Regency Boston,review_411245068,5,5,5,5,5,5,5
Harborside Inn,review_246816137,,,,,,,3
Charlesmark Hotel,review_132586776,5,5,4,5,4,4,5
Colonnade Hotel,review_251982259,4,,5,5,,,4
Kimpton Nine Zero Hotel,review_369371637,,,,,,,5
Omni Parker House,review_2454135,3,,3,4,4,,4
Charlesmark Hotel,review_118624031,3,5,5,3,2,4,2
Hampton Inn & Suites Boston Crosstown Center,review_358322317,,,,,,,5
Seaport Boston Hotel,review_126456487,5,5,5,5,5,5,5
"The Langham, Boston",review_328856013,,,,5,,,5
Colonnade Hotel,review_360313984,5,,,5,,5,5
Kimpton Onyx Hotel,review_4460268,4,,5,5,4,,4
Boston Marriott Copley Place,review_140088348,3,5,4,4,4,4,4
DoubleTree Club by Hilton Hotel Boston Bayside,review_303128379,4,5,5,4,5,5,4
Four Seasons Hotel Boston,review_427659234,,,,,,,5
The Boxer Boston,review_365873008,,,,,,,5
Boston Marriott Copley Place,review_240243679,2,3,3,3,3,3,2
Copley House,review_277880336,,5,5,5,,,5
Renaissance Boston Waterfront Hotel,review_142634654,5,5,5,5,5,4,5
The Inn at Longwood Medical,review_389559792,,,,,,,5
Boston Marriott Long Wharf,review_339249461,,5,5,5,,,5
Days Hotel Boston-Harvard Fenway,review_161216665,4,4,3,4,3,3,3
Residence Inn Boston Back Bay/Fenway,review_219460396,,5,,5,,5,5
W Boston,review_81411736,4,4,4,4,4,,4
Hilton Boston Downtown / Faneuil Hall,review_361374054,5,4,4,5,5,4,5
"Mandarin Oriental, Boston",review_239946793,4,5,5,5,5,5,5
Colonnade Hotel,review_396951005,,5,5,5,,,5
Seaport Boston Hotel,review_151046453,5,5,5,5,5,5,5
Hilton Boston Logan Airport,review_183384275,,,,,,,1
XV Beacon,review_226297985,5,,5,5,,,5
Revere Hotel Boston Common,review_303299213,,,,,,,4
Hyatt Regency Boston Harbor,review_130607105,4,5,5,5,5,4,5
Kimpton Nine Zero Hotel,review_117087120,4,5,5,4,5,,5
Boston Harbor Hotel,review_220958359,4,4,5,5,4,,5
Sheraton Boston Hotel,review_365616000,,5,5,5,,,5
Courtyard Boston Copley Square,review_340996517,,5,,5,,5,5
Eliot Hotel,review_372677647,,,,,,,3
Copley Square Hotel,review_165837282,3,5,4,4,4,5,4
Hyatt Regency Boston,review_101139824,,,,,,,4
Omni Parker House,review_299069193,1,5,3,2,1,4,2
Omni Parker House,review_213003535,2,5,3,4,2,5,3
Copley House,review_294126456,3,,,3,,4,3
Hilton Boston Back Bay,review_116666367,3,,5,5,,5,4
"Mandarin Oriental, Boston",review_57062412,4,5,5,4,5,5,4
XV Beacon,review_3638066,1,,3,4,3,,1
"Fairmont Copley Plaza, Boston",review_274814026,,5,,5,5,,5
Embassy Suites by Hilton Boston - at Logan Airport,review_131384098,,,,,,,4
Chandler Inn,review_116303367,5,,5,5,,5,4
The Godfrey Hotel Boston,review_430902025,2,5,5,4,4,5,4
"The Westin Copley Place, Boston",review_191529999,3,5,4,4,4,2,3
The Inn At St Botolph,review_349632227,,,5,5,5,,5
Kimpton Nine Zero Hotel,review_91103920,,,,,,,1
Wyndham Boston Beacon Hill,review_213621744,3,5,5,5,5,5,5
Four Seasons Hotel Boston,review_270363351,5,,5,5,,,5
Hilton Boston Back Bay,review_384324004,5,,5,5,,,5
The Godfrey Hotel Boston,review_388106696,5,5,5,5,5,5,5
Omni Parker House,review_188891688,,,,,,,4
Hilton Boston Back Bay,review_336363961,3,,,4,3,,4
Courtyard Boston-South Boston,review_197975522,3,3,4,3,4,4,3
"Battery Wharf Hotel, Boston Waterfront",review_45394071,5,5,5,5,5,,5
Omni Parker House,review_331974794,5,5,5,5,4,5,5
Courtyard Boston Downtown,review_432784562,4,,5,5,,,4
Seaport Boston Hotel,review_243281764,5,5,5,5,5,5,5
Omni Parker House,review_344428278,3,5,5,5,5,4,3
Courtyard Boston-South Boston,review_136850183,4,4,5,4,5,,5
The Boxer Boston,review_287407394,,,5,4,5,,5
Hilton Boston Downtown / Faneuil Hall,review_382569985,,5,,5,,5,5
Kimpton Nine Zero Hotel,review_134526462,4,5,4,5,4,4,4
Hotel Commonwealth,review_140666437,3,4,4,4,4,3,4
Hyatt Regency Boston,review_156196838,5,5,4,5,4,,4
Eliot Hotel,review_208584015,3,5,5,5,5,5,5
Newbury Guest House,review_118459246,4,5,5,5,4,5,5
Beacon Hill Hotel and Bistro,review_258683066,2,,,3,2,,2
Hotel Commonwealth,review_113842197,5,5,5,5,5,5,4
The Godfrey Hotel Boston,review_426634348,,,5,5,,5,5
Omni Parker House,review_252538590,5,5,5,5,5,4,4
Seaport Boston Hotel,review_426716228,,5,,5,,5,5
Hyatt Regency Boston Harbor,review_140117913,4,,3,4,,4,3
Hilton Garden Inn Boston Logan Airport,review_426071354,5,5,5,5,5,5,5
The Godfrey Hotel Boston,review_349141030,4,5,5,5,4,5,4
Seaport Boston Hotel,review_51290386,5,5,5,4,4,,5
Courtyard Boston Copley Square,review_186936090,5,3,5,5,3,,4
Courtyard Boston Copley Square,review_336747373,,5,,5,,5,5
"The Westin Copley Place, Boston",review_387242724,,,,,,,3
Hilton Boston Logan Airport,review_307441984,,,4,2,3,,3
Hotel Commonwealth,review_246242166,3,,,3,3,,3
Courtyard Boston Copley Square,review_292449999,,5,,4,4,,4
Colonnade Hotel,review_243257091,,5,4,4,,,4
Kimpton Onyx Hotel,review_423524691,,,5,5,,5,5
Courtyard Boston Copley Square,review_267798596,4,,,5,,4,4
"The Westin Copley Place, Boston",review_420875340,5,5,,5,,,5
Boston Marriott Copley Place,review_131920070,5,5,4,4,3,4,4
Revere Hotel Boston Common,review_292085865,,,5,4,5,,5
Courtyard Boston Copley Square,review_249751660,,5,,4,4,,5
Hyatt Regency Boston,review_270687277,4,4,4,4,4,5,4
"The Westin Copley Place, Boston",review_150369757,5,5,5,4,5,4,4
Hyatt Regency Boston,review_307608154,,,,,,,1
Hotel Commonwealth,review_155607565,5,4,5,4,4,5,5
Boston Marriott Copley Place,review_225101843,,,,,,,4
Ramada Boston,review_313631855,3,3,1,2,1,2,1
XV Beacon,review_131080027,5,5,5,4,5,5,4
DoubleTree Suites by Hilton Boston-Cambridge,review_20053847,5,4,5,5,5,,5
Embassy Suites by Hilton Boston - at Logan Airport,review_308172631,,,,,,,5
Revere Hotel Boston Common,review_205603893,5,5,5,5,5,5,5
Boston Park Plaza,review_385566340,,3,2,1,,,2
Lenox Hotel,review_177765798,5,5,5,5,5,5,5
Courtyard Boston Copley Square,review_121785897,4,5,3,5,3,3,4
XV Beacon,review_81397739,4,5,5,5,5,4,5
Hotel 140,review_116810552,3,,3,2,,3,2
The Inn At St Botolph,review_183188803,4,5,5,,4,4,4
Taj Boston,review_269771628,,5,,5,5,,5
DoubleTree by Hilton Hotel Boston - Downtown,review_231423152,,5,,5,,4,5
The Verb Hotel,review_399967814,,,,,,,4
Copley House,review_226712277,5,5,5,5,5,,5
The Godfrey Hotel Boston,review_369980818,,5,5,5,,,5
Four Seasons Hotel Boston,review_19420321,3,5,5,4,3,,4
The Verb Hotel,review_400542523,,,,,,,5
Hilton Boston Logan Airport,review_370405965,4,5,4,4,5,5,4
The Westin Boston Waterfront,review_244040034,,5,,5,5,,5
Holiday Inn Express Hotel & Suites Boston Garden,review_352853585,,,,,,,4
Lenox Hotel,review_18533537,,5,4,4,4,,4
Lenox Hotel,review_63925914,5,5,5,5,5,5,5
Omni Parker House,review_426228036,,,5,5,,5,4
The Boxer Boston,review_365642825,,,,,,,5
Hilton Boston Logan Airport,review_31215981,4,5,5,5,5,,5
Loews Boston Hotel,review_338538282,4,,,5,,5,4
Boston Marriott Copley Place,review_117111147,5,,5,5,,5,4
Colonnade Hotel,review_16884969,,,,,,,5
Residence Inn Boston Back Bay/Fenway,review_380030209,,,,,,,5
Kimpton Onyx Hotel,review_188889915,4,5,5,5,5,5,5
Boston Hotel Buckminster,review_133938286,3,5,3,4,3,,4
Seaport Boston Hotel,review_161597124,3,4,5,5,5,5,5
enVision Hotel Boston - Longwood,review_174042591,5,2,5,5,5,,5
Omni Parker House,review_416485108,,,,5,5,4,5
Taj Boston,review_87279619,4,5,4,5,5,5,4
The Westin Boston Waterfront,review_405232280,4,,4,4,,,4
Omni Parker House,review_347285825,3,5,5,5,3,4,4
Omni Parker House,review_87131232,4,5,5,5,4,4,5
The Midtown Hotel,review_266913879,5,,,3,,3,4
Omni Parker House,review_370406063,4,,,4,,4,4
Boston Marriott Copley Place,review_297265025,,,,,,,5
Sheraton Boston Hotel,review_332060396,,5,,3,,4,4
Boston Marriott Copley Place,review_218331334,1,5,5,2,2,,3
Seaport Boston Hotel,review_359605688,5,5,5,5,5,5,5
InterContinental Boston,review_232956732,,,,,,,5
Copley Square Hotel,review_172295785,3,5,5,5,2,4,4
Hyatt Regency Boston Harbor,review_312403700,,5,,5,5,,5
Hilton Boston Logan Airport,review_432731060,2,,5,5,,,3
Embassy Suites by Hilton Boston - at Logan Airport,review_20717212,4,5,5,5,5,,4
"The Envoy Hotel, Autograph Collection",review_398170086,4,,,4,,5,4
Boston Harbor Hotel,review_129786880,4,4,5,5,5,5,5
Hilton Boston Downtown / Faneuil Hall,review_204214832,3,5,4,3,4,4,3
Boston Hotel Buckminster,review_162123516,4,5,4,4,4,4,4
The Midtown Hotel,review_160885523,5,5,3,5,4,5,4
"The Liberty, A Luxury Collection Hotel",review_378480681,3,4,,4,,,4
The Westin Boston Waterfront,review_219037923,,3,,5,3,,3
Four Seasons Hotel Boston,review_363134080,,,,,,,5
"Battery Wharf Hotel, Boston Waterfront",review_295678503,,,3,3,,5,3
"Mandarin Oriental, Boston",review_229420060,5,5,5,5,5,5,5
The Westin Boston Waterfront,review_395816599,,,5,5,,5,5
Seaport Boston Hotel,review_137243245,5,5,5,5,5,,5
Kimpton Nine Zero Hotel,review_235916559,4,,4,4,,,4
Hyatt Regency Boston Harbor,review_271709554,5,5,5,5,5,5,5
Boston Park Plaza,review_373637606,1,5,5,2,1,2,2
Eliot Hotel,review_232668312,,,,,,,4
"The Westin Copley Place, Boston",review_256696551,,,5,5,5,,5
"Marriott Vacation Club Pulse at Custom House, Boston",review_238413762,5,5,5,5,5,,5
Hyatt Regency Boston Harbor,review_169348018,4,5,3,5,4,4,4
Boston Park Plaza,review_414372240,,,,,,,1
Chandler Inn,review_141701825,3,5,5,5,5,3,4
Hilton Boston Logan Airport,review_216018152,,5,5,5,,,4
Courtyard Boston Copley Square,review_331214053,,,,,,,5
InterContinental Boston,review_221386714,,,5,5,5,,5
"The Westin Copley Place, Boston",review_102697203,4,5,5,4,5,,4
Omni Parker House,review_180657914,5,5,5,5,5,5,5
The Bostonian Boston,review_155060530,3,5,4,4,4,2,3
Boston Harbor Hotel,review_117809345,4,,5,5,,5,5
Constitution Inn,review_399590719,,,,,,,4
Hyatt Regency Boston,review_234408187,,3,4,5,,,4
The Godfrey Hotel Boston,review_415953676,,,,,,,4
Omni Parker House,review_364295346,4,5,5,5,5,5,5
Hotel Commonwealth,review_118320024,4,5,,5,5,,5
Courtyard Boston Copley Square,review_182568690,4,5,4,4,5,4,4
Seaport Boston Hotel,review_229365203,3,5,5,5,5,5,4
Hotel Commonwealth,review_413261170,2,,,1,,2,1
W Boston,review_147331627,3,5,5,2,5,5,4
The Godfrey Hotel Boston,review_421872449,5,5,5,5,4,5,5
Omni Parker House,review_215609877,,,4,5,3,,3
Hotel Commonwealth,review_212657487,5,5,5,5,5,5,5
"The Westin Copley Place, Boston",review_280765519,,,,,,,5
Seaport Boston Hotel,review_97961715,5,5,5,5,4,4,5
The Godfrey Hotel Boston,review_403856249,,,,,,,4
Eliot Hotel,review_249462280,,,,,,,4
Hyatt Regency Boston,review_155815170,2,4,4,1,2,,2
Harborside Inn,review_128184903,5,5,5,4,4,,4
Embassy Suites by Hilton Boston - at Logan Airport,review_293493005,,,,,,,4
Colonnade Hotel,review_245270346,5,5,,5,,,5
Hotel Commonwealth,review_266008715,,5,,5,5,,5
"The Langham, Boston",review_162113000,4,5,5,4,4,5,4
InterContinental Boston,review_267349379,5,,5,5,,,5
Taj Boston,review_321105701,4,,,3,,3,3
"Battery Wharf Hotel, Boston Waterfront",review_82303625,,,,,,,5
Sheraton Boston Hotel,review_383589123,,5,5,5,,,4
"The Westin Copley Place, Boston",review_141100281,4,5,4,4,4,3,4
Renaissance Boston Waterfront Hotel,review_433718838,,4,,5,,4,5
XV Beacon,review_171406523,5,5,5,5,5,5,5
"The Westin Copley Place, Boston",review_389682860,,,,,,,5
Four Seasons Hotel Boston,review_149152673,3,4,4,5,4,4,5
Embassy Suites by Hilton Boston - at Logan Airport,review_8709641,5,4,5,5,4,,5
Hilton Boston Back Bay,review_242120001,,,5,5,,5,5
Omni Parker House,review_199486226,5,5,5,5,5,5,5
Aloft Boston Seaport,review_425061993,,,,,,,4
Courtyard Boston Copley Square,review_42812068,4,5,5,3,4,,4
Omni Parker House,review_116699477,5,,5,5,,5,5
InterContinental Boston,review_10269283,2,4,2,1,3,,2
Ramada Boston,review_394424355,4,2,3,4,3,3,3
Holiday Inn Express Boston,review_28638756,5,3,4,5,4,,4
Wyndham Boston Beacon Hill,review_408259538,3,5,5,5,3,5,4
InterContinental Boston,review_33977563,4,3,5,3,4,,4
Omni Parker House,review_147628571,4,4,4,5,3,4,4
BEST WESTERN PLUS Roundhouse Suites,review_271097882,,2,,3,,4,3
Boston Marriott Copley Place,review_3721229,3,,3,3,3,,4
Residence Inn Boston Back Bay/Fenway,review_358329904,4,,4,4,,,4
"Fairmont Copley Plaza, Boston",review_171222046,3,5,3,4,3,1,2
Harborside Inn,review_366602773,,,,,,,5
Courtyard Boston Copley Square,review_424428604,,5,5,5,,,4
Loews Boston Hotel,review_241285941,5,,,5,,5,5
Courtyard Boston Copley Square,review_341400122,,,,,,,5
Hotel 140,review_139699781,4,5,5,5,4,3,5
